000A610D C7E4A1CC
00BCF68D AC407664
00D04C01 F0619A94
01107102 51A98A36
01245CEC 16FAD46B
012C6137 2295D802
0160478B 4F72099D
01A5A74A 241153A0
01CB725C 19C21BC4
021636BD 0E4CEE63
022D04F7 62A091B8
02340410 2D5899B1
023C6173 A57D440F
0250298E 04678A3F
027731A6 2943CEC0
029494EC 15A56B6A
029D8823 4DB4F0C2
02C60A11 23056E4A
02E57303 3D4D609E
041050A0 5FEA45E0
046CF870 928B0CBE
04806B00 08DFE851
04D1C18F 9EFE4ED1
04F087AB 096E2DE9
04FADE5B F44DEDAC
051EA116 9B146562
05964DE1 E83C4343
05A23264 4A875135
06395A8E E052FF3B
06C37E62 7BF63FB9
07745999 D95B31B8
079C630C 52BD30B1
0847D5A0 AFC8EEFC
087CAA61 0DD66C31
08A96196 F70C14B6
08F4C973 7459B5D0
0901BC1D 1A800E7B
090FDAA5 26AA9F32
095E1087 D95D233F
09C10823 C55CE8D3
0A32434C 9E7B1942
0A3475CA 8B70E5A3
0A41D6F9 A3C8350C
0A459B4E 52424912
0A6C6E3C 20D7A336
0A7C904C 1404D3D6
0B128ACB CA76B749
0B1EE94C 56A9FDB8
0B244904 325FB633
0B2A896B 73CBE156
0B6083A0 D0226232
0C7A1E97 64742279
0C9F7204 D432DD65
0CB1281B F1DF74E2
0CF429FB 0A6D1755
0D23C717 1AE368A0
0D76F78B EAF36DC3
0DA880C1 F440E520
0DACBEA4 982C1278
0DDEA8E9 11AF2C97
0E19151B A7F920A1
0EBE09FD 3AACCF06
0EC955DA 4A4BCA89
0F089216 4AEFCD2B
0FCD470E 3815003F
1013B34A 18A33A26
101978C3 6CF6A345
102A2C23 10709E4E
10512C05 8CFEFCD9
109F904A 5240299B
10D1ECDC 1E2D19D6
1128123C 0D84AED1
112FB20E E94313AD
113798F2 906B48F2
1194C221 0B6BD7F2
11A08652 0E02B28C
11AB0596 8DB3E705
1247F222 DCDFD32D
125BD935 1CF67519
12645255 A7F56A6B
128BB01E 7AC155F9
129AC004 7D7AFBFF
12A331C9 2E58F843
12AF270B 66BDDC6D
12C9CAB4 FCAAF14B
1372A5A3 1B2F3E19
13F97CD5 9C1F1D73
148406C8 8E84731C
14962CAA 60EB1BFD
